  Yr, Mn,    Date,      Date,     18O,seasonally,        fit,  seasonally,      18O, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          , per-mil,  per-mil,    per-mil,  per-mil,   per-mil,  per-mil
1982, 09,   30209, 1982.7068,     0.54,     0.60,       0.39,     0.45,       0.54,     0.60
1982, 10,   30239, 1982.7890,     0.32,     0.49,       0.29,     0.46,       0.32,     0.49
1982, 11,   30270, 1982.8740,     0.23,     0.44,       0.27,     0.47,       0.23,     0.44
1982, 12,   30300, 1982.9562,     0.28,     0.41,       0.35,     0.48,       0.28,     0.41
1983, 01,   30331, 1983.0411,     0.58,     0.59,       0.47,     0.49,       0.58,     0.59
1983, 02,   30362, 1983.1260,     0.59,     0.53,       0.55,     0.49,       0.59,     0.53
1983, 03,   30390, 1983.2027,     0.45,     0.38,       0.56,     0.50,       0.45,     0.38
1983, 04,   30421, 1983.2877,     0.67,     0.62,       0.56,     0.50,       0.67,     0.62
1983, 05,   30451, 1983.3699,     0.46,     0.38,       0.58,     0.51,       0.46,     0.38
1983, 06,   30482, 1983.4548,     0.58,     0.46,       0.63,     0.51,       0.58,     0.46
1983, 07,   30512, 1983.5370,     0.70,     0.56,       0.65,     0.51,       0.70,     0.56
1983, 08,   30543, 1983.6219,     0.66,     0.59,       0.59,     0.51,       0.66,     0.59
1983, 09,   30574, 1983.7068,     0.53,     0.59,       0.45,     0.51,       0.53,     0.59
1983, 10,   30604, 1983.7890,     0.49,     0.67,       0.32,     0.50,       0.49,     0.67
1983, 11,   30635, 1983.8740,     0.27,     0.48,       0.29,     0.49,       0.27,     0.48
1983, 12,   30665, 1983.9562,     0.33,     0.46,       0.35,     0.48,       0.33,     0.46
1984, 01,   30696, 1984.0410,     0.36,     0.37,       0.46,     0.47,       0.36,     0.37
1984, 02,   30727, 1984.1257,     0.32,     0.26,       0.52,     0.46,       0.32,     0.26
1984, 03,   30756, 1984.2049,      NaN,      NaN,       0.52,     0.45,       0.52,     0.45
1984, 04,   30787, 1984.2896,     0.50,     0.45,       0.50,     0.45,       0.50,     0.45
1984, 05,   30817, 1984.3716,     0.61,     0.54,       0.52,     0.44,       0.61,     0.54
1984, 06,   30848, 1984.4563,     0.50,     0.37,       0.56,     0.44,       0.50,     0.37
1984, 07,   30878, 1984.5383,     0.39,     0.24,       0.57,     0.43,       0.39,     0.24
1984, 08,   30909, 1984.6230,     0.47,     0.39,       0.51,     0.43,       0.47,     0.39
1984, 09,   30940, 1984.7077,     0.30,     0.37,       0.37,     0.43,       0.30,     0.37
1984, 10,   30970, 1984.7896,     0.25,     0.43,       0.25,     0.43,       0.25,     0.43
1984, 11,   31001, 1984.8743,     0.15,     0.36,       0.22,     0.43,       0.15,     0.36
1984, 12,   31031, 1984.9563,     0.36,     0.49,       0.30,     0.43,       0.36,     0.49
1985, 01,   31062, 1985.0411,     0.50,     0.51,       0.41,     0.43,       0.50,     0.51
1985, 02,   31093, 1985.1260,     0.62,     0.56,       0.48,     0.42,       0.62,     0.56
1985, 03,   31121, 1985.2027,     0.52,     0.46,       0.48,     0.41,       0.52,     0.46
1985, 04,   31152, 1985.2877,     0.41,     0.36,       0.45,     0.40,       0.41,     0.36
1985, 05,   31182, 1985.3699,     0.57,     0.50,       0.46,     0.39,       0.57,     0.50
1985, 06,   31213, 1985.4548,     0.35,     0.22,       0.49,     0.37,       0.35,     0.22
1985, 07,   31243, 1985.5370,     0.43,     0.29,       0.50,     0.35,       0.43,     0.29
