"   Sample,Sample,    Excel,   Sample, NC,FGC,     CO2, NM,FGM,     CH4, NO,FGO,     CO, N13,FG3,13C-CO2,N18,FG8,18O-CO2,N14,FG4,14C-CO2"
"     Date,  Time,     Date,     Date,"
1961-08-01, 15:15, 22494.64, 1961.583,  2,  0,  316.41,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-08-15, 14:40, 22508.61, 1961.621,  2,  4,  317.38,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-09-01, 11:30, 22525.48, 1961.667,  2,  0,  316.39,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-09-16, 10:05, 22540.42, 1961.708,  2,  0,  315.35,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-10-02, 12:00, 22556.50, 1961.752,  2,  0,  315.31,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-10-15, 10:50, 22569.45, 1961.788,  2,  0,  314.24,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-11-03, 10:50, 22588.45, 1961.840,  2,  0,  315.83,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-11-15, 14:25, 22600.60, 1961.873,  2,  0,  315.96,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-12-05, 14:55, 22620.62, 1961.928,  2,  0,  317.80,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1961-12-15, 14:35, 22630.61, 1961.955,  2,  5,  321.16,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1962-01-01, 11:47, 22647.49, 1962.001,  2,  0,  317.53,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1962-01-15, 14:22, 22661.60, 1962.040,  2,  0,  316.30,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1962-02-01, 12:15, 22678.51, 1962.086,  2,  4,  319.03,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1962-02-15, 14:15, 22692.59, 1962.125,  2,  0,  318.35,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1962-03-01, 12:35, 22706.52, 1962.163,  2,  0,  319.54,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1962-03-15, 14:35, 22720.61, 1962.202,  2,  0,  320.09,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1962-04-01, 15:20, 22737.64, 1962.248,  2,  4,  320.81,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1962-04-16, 15:25, 22752.64, 1962.289,  2,  0,  320.32,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1962-05-01, 10:50, 22767.45, 1962.330,  2,  0,  321.24,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1962-05-15, 14:05, 22781.59, 1962.369,  2,  0,  321.73,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1962-06-01, 18:35, 22798.77, 1962.416,  2,  0,  320.87,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
